isbn13,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count
,Prajātantra ra samājavāda,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Prajātantra ra samājavāda' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1979,0.0,0,0
,Prajātāntrika samājavāda,Bishweshwar Prasad Koirala,Nepali Literature,Transcript of a speech on the contemporary political situation and government in Nepal.,1981,0.0,32,0
,Viśveśvaraprasāda Koirālāko ātmavr̥tānta,Bishweshwar Prasad Koirala,Nepali Literature,"Autobiographical reminiscences of Bishweshwar Prasad Koirala, former prime minister of Nepal, as narrated to Gaṇeśarāja Śarmā.",1998,0.0,334,0
,Vī.Pī. Koirālākā sāhityika vicāraharū,Bishweshwar Prasad Koirala,Nepali Literature,Articles on Nepali literature.,1982,0.0,70,0
,Vī. Pī. vāda,Bishweshwar Prasad Koirala,Nepali Literature,"Political writings of Bishweshwar Prasad Koirala, former prime minister of Nepal.",1997,0.0,223,0
9789994613755.0,Rājanītika abhilekha,Bishweshwar Prasad Koirala,Nepali Literature,Articles on 20th century politics of Nepal.,2009,0.0,376,0
,Bābu āmā ra chorā,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Bābu āmā ra chorā' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1988,0.0,109,0
,Hiṭalara ra Yahūdī,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Hiṭalara ra Yahūdī' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1983,0.0,160,0
,"Melamilāpako śarta, rāshṭriyatā, ra prajātantra",Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Melamilāpako śarta, rāshṭriyatā, ra prajātantra' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1981,0.0,63,0
,Mero bālyakāla,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Mero bālyakāla' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1982,0.0,20,0
,Āphno kathā,Bishweshwar Prasad Koirala,Nepali Literature,Autobiography of a Nepali statesman and litterateur.,1983,0.0,162,0
,Tīna adhyāya,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Tīna adhyāya' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1971,0.0,98,0
9789937021326.0,Discourse on B.P. Koirala's novels,Keshav Raj Chalise; Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Discourse on B.P. Koirala's novels' by Keshav Raj Chalise, featuring the stories, culture and voice of Nepal.",2017,0.0,118,0
9780670096602.0,Karnali Blues,Buddhisagar; Michael Hutt,Nepali Literature,"A Nepali literary work titled 'Karnali Blues' by Buddhisagar, featuring the stories, culture and voice of Nepal.",2022,0.0,432,0
,Pantapradhāna Indirā Gāndhī,Shanta Buddhisagar,Nepali Literature,"A Nepali literary work titled 'Pantapradhāna Indirā Gāndhī' by Shanta Buddhisagar, featuring the stories, culture and voice of Nepal.",1971,0.0,128,0
